word,information_gain,percentage_suicide,percentage_non_suicide
背单词,0.0006218729920975941,5.56%,94.44%
劳动节,0.0006041285050588652,3.28%,96.72%
同款,0.0004034596928359502,4.55%,95.45%
新加坡,0.00017590004265877202,8.33%,91.67%
绍兴,0.000307974586515658,7.50%,92.50%
餐厅,0.000892917901876511,5.00%,95.00%
妈咪,0.0014663249889053098,2.17%,97.83%
减脂,0.0006755973459304787,4.17%,95.83%
报纸,0.0002765333247310986,6.06%,93.94%
新家,0.00042923550136797495,7.27%,92.73%
教堂,0.00014393951149838102,5.88%,94.12%
马来西亚,0.00012126417633873121,6.67%,93.33%
奶粉,0.00012126417633873121,6.67%,93.33%
梅花,0.00015538158883587894,5.56%,94.44%
美学,0.000201684724976392,4.55%,95.45%
蛋白质,0.00012126417633873121,6.67%,93.33%
薯条,0.0001900393994349603,4.76%,95.24%
分量,0.00014393951149838102,5.88%,94.12%
店家,9.893656110326887e-05,7.69%,92.31%
汁水,0.00016688292196886945,5.26%,94.74%
植物园,0.00033179578530417864,3.03%,96.97%
小咪,0.0002486270932928747,3.85%,96.15%
糖醋,0.00034375633138283845,2.94%,97.06%
大佬,0.00016688292196886945,5.26%,94.74%
橙子,0.000201684724976392,4.55%,95.45%
封面,0.00015538158883587894,5.56%,94.44%
故里,9.893656110326887e-05,7.69%,92.31%
魅力,0.0006292774069815987,6.49%,93.51%
体,0.0003550908604385006,56.14%,43.86%
村,0.0014339062435906325,13.70%,86.30%
咸阳,0.00021336935240634514,4.35%,95.65%
鸡腿,0.00044039723838129596,7.14%,92.86%
泥,0.0006973213195841099,25.57%,74.43%
尾,0.0021725429121006723,13.16%,86.84%
猫咪,0.007756660025597384,5.08%,94.92%
尾巴,0.000913951960237469,8.66%,91.34%
西湖,0.0002748439846651518,8.11%,91.89%
民间,0.0003108209244491178,5.56%,94.44%
蓝白,0.00021336935240634514,4.35%,95.65%
狮子,0.00029602253560290226,3.33%,96.67%
赣州,0.000272276528269777,3.57%,96.43%
小兔,0.0004091829685306525,6.12%,93.88%
保鲜膜,0.00015538158883587894,5.56%,94.44%
油画,0.00016688292196886945,5.26%,94.74%
幼猫,0.00012126417633873121,6.67%,93.33%
宠物医院,0.00012126417633873121,6.67%,93.33%
焦糖,0.000201684724976392,4.55%,95.45%
女士,0.0001784372880713203,5.00%,95.00%
炒菜,0.0001784372880713203,5.00%,95.00%
单品,0.00016688292196886945,5.26%,94.74%
锅底,0.00021336935240634514,4.35%,95.65%
